Year,Month,Day,Daily global solar exposure (MJ/m*m),Station
1996,09,03,20.7,Arkaroola
1996,09,04,9.8,Arkaroola
1996,09,05,20.5,Arkaroola
1996,09,06,19.7,Arkaroola
1996,09,07,16.3,Arkaroola
1996,09,08,16.1,Arkaroola
1996,09,09,21,Arkaroola
1996,09,10,20.7,Arkaroola
1996,09,11,20.7,Arkaroola
1996,09,12,21.5,Arkaroola
1996,09,13,21.6,Arkaroola
1996,09,14,22.7,Arkaroola
1996,09,15,23,Arkaroola
1996,09,16,23.3,Arkaroola
1996,09,17,23.2,Arkaroola
1996,09,18,23.5,Arkaroola
1996,09,19,20.7,Arkaroola
1996,09,20,20.4,Arkaroola
1996,09,21,23.5,Arkaroola
1996,09,22,24.5,Arkaroola
1996,09,23,17.8,Arkaroola
1996,09,24,23.3,Arkaroola
1996,09,25,22.7,Arkaroola
1996,09,26,22.4,Arkaroola
1996,09,27,9.4,Arkaroola
1996,09,28,8.3,Arkaroola
1996,09,29,22.3,Arkaroola
1996,09,30,20.6,Arkaroola
1996,10,01,23,Arkaroola
1996,10,02,22.5,Arkaroola
1996,10,03,20.2,Arkaroola
1996,10,04,24.2,Arkaroola
1996,10,05,19.2,Arkaroola
1996,10,06,20,Arkaroola
1996,10,07,26.8,Arkaroola
1996,10,08,27.2,Arkaroola
1996,10,09,NA,Arkaroola
1996,10,10,25.7,Arkaroola
1996,10,11,26.3,Arkaroola
1996,10,12,28.6,Arkaroola
1996,10,13,28.5,Arkaroola
1996,10,14,27.7,Arkaroola
1996,10,15,28,Arkaroola
1996,10,16,11.8,Arkaroola
1996,10,17,1.9,Arkaroola
1996,10,18,28.5,Arkaroola
1996,10,19,29.1,Arkaroola
1996,10,20,30.3,Arkaroola
1996,10,21,NA,Arkaroola
1996,10,22,29.7,Arkaroola
1996,10,23,NA,Arkaroola
1996,10,24,NA,Arkaroola
1996,10,25,25.3,Arkaroola
1996,10,26,25,Arkaroola
1996,10,27,27.8,Arkaroola
1996,10,28,28.5,Arkaroola
1996,10,29,29.7,Arkaroola
1996,10,30,NA,Arkaroola
1996,10,31,31,Arkaroola
1996,11,01,27.4,Arkaroola
1996,11,02,19.4,Arkaroola
1996,11,03,7.6,Arkaroola
1996,11,04,29.9,Arkaroola
1996,11,05,31.8,Arkaroola
1996,11,06,31.9,Arkaroola
1996,11,07,31.8,Arkaroola
1996,11,08,29.5,Arkaroola
1996,11,09,31,Arkaroola
1996,11,10,31.9,Arkaroola
1996,11,11,31.6,Arkaroola
1996,11,12,32.3,Arkaroola
1996,11,13,26,Arkaroola
1996,11,14,20.6,Arkaroola
1996,11,15,12.6,Arkaroola
1996,11,16,30.7,Arkaroola
1996,11,17,22.9,Arkaroola
1996,11,18,28.9,Arkaroola
1996,11,19,32.3,Arkaroola
1996,11,20,32.3,Arkaroola
1996,11,21,30.5,Arkaroola
1996,11,22,32.7,Arkaroola
1996,11,23,33,Arkaroola
1996,11,24,32.3,Arkaroola
1996,11,25,32.9,Arkaroola
1996,11,26,33.4,Arkaroola
1996,11,27,29.7,Arkaroola
1996,11,28,29.5,Arkaroola
1996,11,29,31.9,Arkaroola
1996,11,30,33.5,Arkaroola
1996,12,01,24.2,Arkaroola
1996,12,02,27,Arkaroola
1996,12,03,26.9,Arkaroola
1996,12,04,31.1,Arkaroola
1996,12,05,28.7,Arkaroola
1996,12,06,9.2,Arkaroola
1996,12,07,34.6,Arkaroola
1996,12,08,33.8,Arkaroola
1996,12,09,32.1,Arkaroola
1996,12,10,32.7,Arkaroola
1996,12,11,15.1,Arkaroola
1996,12,12,31.6,Arkaroola
1996,12,13,28.5,Arkaroola
1996,12,14,26.9,Arkaroola
1996,12,15,NA,Arkaroola
1996,12,16,27.3,Arkaroola
1996,12,17,27.9,Arkaroola
1996,12,18,34,Arkaroola
1996,12,19,33.1,Arkaroola
1996,12,20,30.7,Arkaroola
1996,12,21,33.5,Arkaroola
1996,12,22,32,Arkaroola
1996,12,23,33.5,Arkaroola
1996,12,24,23.4,Arkaroola
1996,12,25,32.1,Arkaroola
1996,12,26,32.6,Arkaroola
1996,12,27,33.6,Arkaroola
1996,12,28,32.4,Arkaroola
1996,12,29,34.4,Arkaroola
1996,12,30,34.3,Arkaroola
1996,12,31,34.5,Arkaroola
1997,01,01,NA,Arkaroola
1997,01,02,34.7,Arkaroola
1997,01,03,34.1,Arkaroola
1997,01,04,31,Arkaroola
1997,01,05,31.6,Arkaroola
1997,01,06,32.6,Arkaroola
1997,01,07,33.1,Arkaroola
1997,01,08,33.5,Arkaroola
1997,01,09,NA,Arkaroola
1997,01,10,31.1,Arkaroola
1997,01,11,33.1,Arkaroola
1997,01,12,19,Arkaroola
1997,01,13,31.3,Arkaroola
1997,01,14,23.9,Arkaroola
1997,01,15,24.1,Arkaroola
1997,01,16,30.4,Arkaroola
1997,01,17,33.5,Arkaroola
1997,01,18,32.8,Arkaroola
1997,01,19,28.3,Arkaroola
1997,01,20,17.2,Arkaroola
1997,01,21,23.3,Arkaroola
1997,01,22,4,Arkaroola
1997,01,23,28.5,Arkaroola
1997,01,24,28.7,Arkaroola
1997,01,25,30,Arkaroola
1997,01,26,28.7,Arkaroola
1997,01,27,23.5,Arkaroola
1997,01,28,31.2,Arkaroola
1997,01,29,32,Arkaroola
1997,01,30,32.1,Arkaroola
1997,01,31,31.9,Arkaroola
1997,02,01,25.7,Arkaroola
1997,02,02,28.4,Arkaroola
1997,02,03,27.7,Arkaroola
1997,02,04,27.6,Arkaroola
1997,02,05,12.7,Arkaroola
1997,02,06,3.1,Arkaroola
1997,02,07,1.5,Arkaroola
1997,02,08,13.2,Arkaroola
1997,02,09,18.1,Arkaroola
1997,02,10,4.6,Arkaroola
1997,02,11,4.7,Arkaroola
1997,02,12,NA,Arkaroola
1997,02,13,23.6,Arkaroola
1997,02,14,29.2,Arkaroola
1997,02,15,30.1,Arkaroola
1997,02,16,27.7,Arkaroola
1997,02,17,27.9,Arkaroola
